model_id,model,source,scaler,encoder,bias_pre,tuning,bias_post,n_splits,eta,adversary_loss_weight,num_epochs,classifier_num_hidden_units,debias,mean_Accuracy,mean_Precision,mean_Recall,mean_F1-Score,mean_Demographic Parity Diff.,mean_Equal Opportunity Diff.,mean_Predictive Parity Diff.,mean_Average Predictive Value Diff.,mean_Average Odds Diff.,std_Accuracy,std_Precision,std_Recall,std_F1-Score,std_Demographic Parity Diff.,std_Equal Opportunity Diff.,std_Predictive Parity Diff.,std_Average Predictive Value Diff.,std_Average Odds Diff.
LG001,logistic_regression,classic,none,none,none,none,none,3,,,,,,0.7459885034735335,0.7822402782023343,0.8828546274898206,0.829453370977336,-0.0424139524139524,-0.0171422310997945,-0.058307903943051,-0.0049386819080031,-0.0168484709299322,0.0219120796108127,0.0120802019518062,0.0236543508872021,0.015815193684385,0.0351205873859533,0.0217637386708096,0.0352125627888198,0.0426356434046,0.0203267751576899
LG002,logistic_regression,classic,none,none,none,none,calibrate_equalized_odds,3,,,,,,0.7439924954895014,0.7678379167324726,0.9100302018756952,0.8326912098638016,-0.0815176715176715,-0.0482028371604006,-0.049249860030778,-0.0188969985265879,-0.0663568789937399,0.0066702897332752,0.0149531469976247,0.0184342431507165,0.0009729480380895,0.0432264803228256,0.0561494053359783,0.0595121203215927,0.0574752520105187,0.0698319552186973
LG003,logistic_regression,classic,none,none,none,none,reject_option_classification,3,,,,,,0.7339974705244167,0.864448616325963,0.7356969052248021,0.7946166902654243,0.0118236418236417,0.080554362710716,-0.0210867634298261,0.0726714160307771,0.0318009299507829,0.0063930269191768,0.0114410253594106,0.0239063456724842,0.0093706854083235,0.0173433579789074,0.0728021876961661,0.017286784929637,0.0800060965210725,0.0078060482061924
LG004,logistic_regression,classic,none,none,none,random,none,3,,,,,,0.7429855004705305,0.7724477244772446,0.8971302104349315,0.8301325370632302,-0.0042686042686042,0.0202028218639197,-0.0630142974370968,0.0265151240597911,0.0177839236654063,0.0219619270426626,0.013970254233211,0.014985229511567,0.0144569793169609,0.0348270268293516,0.0558288748933425,0.0612772247992123,0.0840020222066728,0.0117706099218657
LG005,logistic_regression,classic,none,none,none,random,calibrate_equalized_odds,3,,,,,,0.7359814904725085,0.7615055259800277,0.9071384028465572,0.8279081589342759,-0.0209106309106309,0.0134477713588691,-0.0534331753784224,0.0417417419383845,-0.0089729065582892,0.0171179456744927,0.0137410918963942,0.0131556420337973,0.0106470449651755,0.0599112246194098,0.0643543793507073,0.070153227594699,0.0582771698222331,0.0731092234920118
LG006,logistic_regression,classic,none,none,none,random,reject_option_classification,3,,,,,,0.7329784874695053,0.8576789339290688,0.7427766161671742,0.7951727331549518,-0.0264694064694064,0.0314781228046392,-0.023298301559538,0.0534365224459332,-0.0015987255615838,0.0213907119423662,0.0220743708987528,0.0488638547389727,0.022449567765472,0.0158630330342145,0.0638512150125444,0.0421898392997965,0.0885324522382,0.0263638765448433
RF001,random_forest,classic,none,none,none,none,none,3,,,,,,0.7660055264845683,0.7884519556872354,0.9099935194355796,0.8448501510541474,-0.0339114639114639,0.017046256207354,-0.0390047450679015,0.0531832084754288,-0.0209365513661523,0.0129303888704206,0.0107286878724727,0.0075418181001203,0.0079523984572125,0.0348317372111027,0.064355878866404,0.0388799395539333,0.104570400815262,0.0137626033036967
RF002,random_forest,classic,none,none,none,none,calibrate_equalized_odds,3,,,,,,0.7459944974915035,0.7620469314661914,0.9271609014098284,0.8364225792260198,-0.0843180243180243,-0.0073855619744641,-0.0141734340325593,0.0955278287222049,-0.0969731710694971,0.0230211255283759,0.0193412013843813,0.012692566016641,0.0130282089892008,0.0861605116612645,0.0724014467231578,0.0682602293382405,0.0627935931900434,0.1189889633739691
RF003,random_forest,classic,none,none,none,none,reject_option_classification,3,,,,,,0.7669795544047041,0.850874605047775,0.8099238227993594,0.8291510248891507,-0.0294097594097593,0.0002109739058876,-0.0579003207509453,0.0098917598508561,0.0121047610849779,0.0213963830548379,0.0209029325203967,0.0462298058805184,0.0197673966079326,0.016794685348536,0.0455002704754538,0.0362732344287221,0.0585312784555939,0.0127783615725411
RF004,random_forest,classic,none,none,none,random,none,3,,,,,,0.7570025114935294,0.8038185146904672,0.8685973857647676,0.833264637253999,-0.0293874293874293,0.0119812177458263,-0.0440710135829377,0.043823123722334,-0.0051417246490638,0.0078162247144425,0.0374357147404525,0.0559082096842013,0.0054565848087458,0.045078929614042,0.0478378843055389,0.030455499489291,0.0540706455339357,0.0244028917217607
RF005,random_forest,classic,none,none,none,random,calibrate_equalized_odds,3,,,,,,0.7550095005184826,0.7982302894745144,0.8757443478473522,0.8331408498639159,-0.0226922726922726,0.0094559652205738,-0.0542182466570001,0.029177348820041,0.0030159389433823,0.0101866086958416,0.0395079654298679,0.0648453033211994,0.0095387208121695,0.0311716170702764,0.0519563134516446,0.0524736583305107,0.0420233861055774,0.0350764105582452
RF006,random_forest,classic,none,none,none,random,reject_option_classification,3,,,,,,0.7299874725024426,0.8640555911837176,0.7299561033466612,0.7896954682296534,-0.029104559104559,0.0092626015637213,-0.0400833618819597,0.0276648801264133,0.0041842973452654,0.0347690223855971,0.0120725754447619,0.0716486687681725,0.03863220493808,0.0291185094708166,0.0277846151132599,0.0571341234733292,0.0248510566740225,0.0460589106290042
