config_id,n_splits,mean_Accuracy,mean_Precision,mean_Recall,mean_F1-Score,mean_Demographic Parity Diff.,mean_Equal Opportunity Diff.,mean_Predictive Parity Diff.,mean_Average Predictive Value Diff.,mean_Average Odds Diff.,std_Accuracy,std_Precision,std_Recall,std_F1-Score,std_Demographic Parity Diff.,std_Equal Opportunity Diff.,std_Predictive Parity Diff.,std_Average Predictive Value Diff.,std_Average Odds Diff.
logistic_regression|none|none|pre=none|tune=none|post=none,3,0.7459885034735335,0.7822402782023343,0.8828546274898206,0.829453370977336,-0.04241395241395244,-0.017142231099794552,-0.058307903943051076,-0.004938681908003136,-0.01684847092993221,0.021912079610812724,0.012080201951806297,0.023654350887202184,0.01581519368438509,0.03512058738595335,0.021763738670809624,0.035212562788819894,0.042635643404600056,0.0203267751576899
logistic_regression|none|none|pre=none|tune=none|post=calibrate_equalized_odds,3,0.7439924954895014,0.7678379167324726,0.9100302018756953,0.8326912098638016,-0.08151767151767153,-0.0482028371604006,-0.049249860030778025,-0.018896998526587955,-0.06635687899373999,0.0066702897332752,0.014953146997624758,0.018434243150716553,0.0009729480380895087,0.04322648032282566,0.056149405335978377,0.059512120321592706,0.05747525201051877,0.06983195521869735
logistic_regression|none|none|pre=none|tune=none|post=reject_option_classification,3,0.7339974705244167,0.864448616325963,0.7356969052248021,0.7946166902654243,0.01182364182364178,0.08055436271071603,-0.021086763429826145,0.07267141603077713,0.03180092995078299,0.006393026919176889,0.011441025359410613,0.023906345672484244,0.00937068540832357,0.01734335797890745,0.07280218769616612,0.017286784929637006,0.08000609652107253,0.0078060482061924116
logistic_regression|none|none|pre=none|tune=random|post=none,3,0.7429855004705305,0.7724477244772446,0.8971302104349315,0.8301325370632302,-0.004268604268604277,0.020202821863919713,-0.06301429743709686,0.0265151240597911,0.01778392366540636,0.021961927042662695,0.013970254233211007,0.01498522951156703,0.014456979316960926,0.03482702682935165,0.055828874893342546,0.061277224799212306,0.08400202220667286,0.011770609921865752
logistic_regression|none|none|pre=none|tune=random|post=calibrate_equalized_odds,3,0.7359814904725085,0.7615055259800277,0.9071384028465573,0.8279081589342759,-0.020910630910630907,0.013447771358869173,-0.053433175378422404,0.04174174193838457,-0.008972906558289232,0.017117945674492787,0.013741091896394223,0.013155642033797382,0.010647044965175512,0.05991122461940983,0.06435437935070736,0.07015322759469902,0.05827716982223312,0.0731092234920118
logistic_regression|none|none|pre=none|tune=random|post=reject_option_classification,3,0.7329784874695053,0.8576789339290688,0.7427766161671742,0.7951727331549518,-0.02646940646940647,0.03147812280463924,-0.02329830155953805,0.05343652244593322,-0.0015987255615838303,0.02139071194236624,0.02207437089875288,0.04886385473897273,0.02244956776547201,0.01586303303421456,0.06385121501254443,0.04218983929979658,0.08853245223820008,0.026363876544843342
random_forest|none|none|pre=none|tune=none|post=none,3,0.7660055264845683,0.7884519556872354,0.9099935194355795,0.8448501510541474,-0.0339114639114639,0.017046256207354043,-0.03900474506790156,0.053183208475428845,-0.0209365513661523,0.012930388870420651,0.010728687872472711,0.007541818100120391,0.007952398457212559,0.0348317372111027,0.06435587886640408,0.03887993955393338,0.104570400815262,0.01376260330369671
random_forest|none|none|pre=none|tune=none|post=calibrate_equalized_odds,3,0.7459944974915035,0.7620469314661914,0.9271609014098284,0.8364225792260198,-0.08431802431802433,-0.007385561974464124,-0.014173434032559365,0.09552782872220493,-0.09697317106949711,0.023021125528375975,0.019341201384381387,0.012692566016641083,0.013028208989200816,0.08616051166126454,0.07240144672315788,0.06826022933824058,0.0627935931900434,0.11898896337396915
random_forest|none|none|pre=none|tune=none|post=reject_option_classification,3,0.7669795544047041,0.850874605047775,0.8099238227993594,0.8291510248891507,-0.02940975940975939,0.00021097390588768286,-0.05790032075094539,0.009891759850856127,0.012104761084977994,0.02139638305483793,0.020902932520396725,0.04622980588051846,0.019767396607932686,0.016794685348536075,0.04550027047545381,0.036273234428722136,0.058531278455593916,0.01277836157254116
random_forest|none|none|pre=none|tune=random|post=none,3,0.7570025114935294,0.8038185146904672,0.8685973857647676,0.833264637253999,-0.02938742938742937,0.011981217745826353,-0.044071013582937746,0.04382312372233408,-0.005141724649063817,0.007816224714442523,0.03743571474045254,0.05590820968420133,0.00545658480874585,0.045078929614042085,0.04783788430553893,0.030455499489291063,0.05407064553393576,0.02440289172176074
random_forest|none|none|pre=none|tune=random|post=calibrate_equalized_odds,3,0.7550095005184826,0.7982302894745144,0.8757443478473522,0.8331408498639159,-0.02269227269227266,0.009455965220573867,-0.05421824665700011,0.029177348820041065,0.0030159389433823958,0.010186608695841698,0.039507965429867925,0.06484530332119942,0.00953872081216951,0.031171617070276436,0.05195631345164468,0.05247365833051073,0.04202338610557741,0.03507641055824528
random_forest|none|none|pre=none|tune=random|post=reject_option_classification,3,0.7299874725024426,0.8640555911837176,0.7299561033466612,0.7896954682296534,-0.029104559104559075,0.00926260156372131,-0.040083361881959746,0.027664880126413327,0.004184297345265431,0.03476902238559719,0.01207257544476194,0.07164866876817255,0.03863220493808004,0.029118509470816692,0.027784615113259914,0.057134123473329204,0.024851056674022598,0.04605891062900429
gradient_boosting|none|none|pre=none|tune=none|post=none,3,0.7570174965384546,0.7954811409009882,0.8785872369563358,0.8349180096905991,-0.04576611576611578,-0.005525418681521936,-0.044247352941011044,0.021903889978416042,-0.027036123708845766,0.030984783900169562,0.015436328865713365,0.03153437884363244,0.022294062868327448,0.04729627496603426,0.027141504128087007,0.035219594334900024,0.059022841112750815,0.03867600844074883
gradient_boosting|none|none|pre=none|tune=none|post=calibrate_equalized_odds,3,0.7380074685463907,0.7756343491685378,0.8814484672853773,0.8247061333694949,-0.06579614579614579,-0.009692085348188587,-0.029516268578655896,0.04795429136169419,-0.06500655381637262,0.007131087990524084,0.013654310052779726,0.03639160749783628,0.008932882075482172,0.06818141008789648,0.03394171268289068,0.06231507710900749,0.019406325582706534,0.08449274005069705
gradient_boosting|none|none|pre=none|tune=none|post=reject_option_classification,3,0.7239964515413617,0.8714688147799752,0.7185356369905728,0.7765938814551482,-0.01435337435337434,0.014719863196133757,-0.06228929345041249,0.006078780918328243,0.023620809365182186,0.08263973992601713,0.040754824748882194,0.17516873029210506,0.09564631441233026,0.048477574017444576,0.034112409648780394,0.013763945609251387,0.04600987024074674,0.028018692158729555
gradient_boosting|none|none|pre=none|tune=random|post=none,3,0.7629935324546103,0.7833652384146061,0.9186383478228972,0.8445103631496328,-0.042508102508102476,0.0064372819023545596,-0.037863287471576634,0.06247999588018568,-0.025703096538877906,0.024668311410243855,0.036522766570908576,0.04196257911127434,0.011902994940849324,0.05350945216754584,0.03476952132557445,0.045566414849358326,0.10092311365768361,0.03387925845735036
gradient_boosting|none|none|pre=none|tune=random|post=calibrate_equalized_odds,3,0.7509935084785383,0.7680068226120857,0.9272220388100217,0.8389581351721159,-0.058819798819798784,-0.005873324158251481,-0.03549627839387437,0.05653517235249365,-0.05228071529303944,0.01061918695047009,0.03014589513425131,0.04918589984307291,0.005155758193556779,0.03749512167282155,0.03309193718628975,0.06536232160914385,0.07522645980235182,0.04499454823780719
gradient_boosting|none|none|pre=none|tune=random|post=reject_option_classification,3,0.7539995084905264,0.8468637825500571,0.7914358729809373,0.8171695904138794,0.01696262696262696,0.03389526324120925,-0.07978951290668945,0.0028947875939392595,0.06484435742295529,0.04504705616665838,0.006144536046101545,0.07309551567737535,0.040887365100390406,0.019402302594914298,0.06426725809010495,0.028596877844537953,0.05902611143749519,0.0303367792112364
logistic_regression|none|none|pre=reweighing|tune=none|post=none,3,0.7469895044745344,0.7818363927220252,0.8857097440788428,0.8305235066311849,-0.03247961247961251,-0.020679259880474105,-0.07094363531145143,-0.023862131046039087,-0.0003020447430224042,0.0150633818804339,0.009540139761679878,0.01316661159744325,0.010383342658370324,0.03282779862550714,0.02497625892941064,0.043249185299691226,0.05597441703714338,0.021607328126890993
logistic_regression|none|none|pre=reweighing|tune=none|post=calibrate_equalized_odds,3,0.7409894924864985,0.7675648131772324,0.9043016274775931,0.8302071313638364,-0.06026432026432027,-0.039618653819868066,-0.061376555621093974,-0.02398434610661528,-0.03919164197764071,0.01090311827564644,0.01506280356237421,0.010558496274910878,0.004396478186457236,0.03611300521557001,0.04354920913402365,0.058973993528055345,0.030544136628928655,0.0571863476549537
logistic_regression|none|none|pre=reweighing|tune=none|post=reject_option_classification,3,0.7300054545563528,0.8610013621078618,0.732860129855838,0.7916136800757316,0.007088137088137048,0.07740098791409607,-0.017101688039869705,0.0747702063783832,0.025120611572264195,0.005597514250997488,0.011575853690283478,0.01726261562140995,0.006473417458416341,0.007925355277724158,0.08100512320592942,0.015701400759505248,0.08185166029041896,0.018856691292179914
